,year,subject_race,contraband_found,nb_find,nb_search,Hit_rate,County,City,dupli
56,2009.0,asian/pacific islander,True,136,384,35.41666666666667,ca,oakland,2
57,2009.0,asian/pacific islander,True,1,10,10.0,tx,oakland,2
58,2009.0,black,True,256,2955,8.663282571912013,ca,oakland,2
59,2009.0,black,True,74,323,22.910216718266255,tx,oakland,2
60,2009.0,hispanic,True,110,1832,6.004366812227074,ca,oakland,2
61,2009.0,hispanic,True,122,439,27.790432801822323,tx,oakland,2
62,2009.0,white,True,350,1815,19.28374655647383,ca,oakland,2
63,2009.0,white,True,123,533,23.076923076923077,tx,oakland,2
64,2010.0,asian/pacific islander,True,109,292,37.32876712328767,ca,oakland,2
65,2010.0,asian/pacific islander,True,3,24,12.5,tx,oakland,2
66,2010.0,black,True,214,2409,8.88335408883354,ca,oakland,2
67,2010.0,black,True,102,430,23.72093023255814,tx,oakland,2
68,2010.0,hispanic,True,117,1003,11.665004985044865,ca,oakland,2
69,2010.0,hispanic,True,165,702,23.504273504273502,tx,oakland,2
70,2010.0,white,True,409,1480,27.635135135135137,ca,oakland,2
71,2010.0,white,True,127,558,22.759856630824373,tx,oakland,2
72,2011.0,asian/pacific islander,True,114,407,28.00982800982801,ca,oakland,2
73,2011.0,asian/pacific islander,True,3,10,30.0,tx,oakland,2
74,2011.0,black,True,172,2867,5.999302406696896,ca,oakland,2
75,2011.0,black,True,184,671,27.421758569299552,tx,oakland,2
76,2011.0,hispanic,True,97,1384,7.008670520231214,ca,oakland,2
77,2011.0,hispanic,True,283,976,28.99590163934426,tx,oakland,2
78,2011.0,white,True,299,1386,21.572871572871573,ca,oakland,2
79,2011.0,white,True,158,585,27.00854700854701,tx,oakland,2
